,quality
6218,5
6463,5
5618,5
1184,5
5984,5
5458,5
3054,5
2361,5
5550,5
17,5
3344,5
1207,5
825,5
1448,5
5951,5
4388,5
3559,5
1247,5
5315,5
2533,5
772,5
1780,5
5983,5
1251,5
5448,5
1736,5
5899,5
5835,5
4097,5
1579,5
2081,5
2712,5
11,5
673,5
5929,5
865,5
160,5
3541,5
186,5
3658,5
1347,5
5886,5
4128,5
179,5
4149,5
1,5
5814,5
1711,5
2308,5
3626,5
2595,5
4877,5
1523,5
1310,5
135,5
3927,5
786,5
3747,5
2470,5
4405,5
2000,5
1290,5
5476,5
1128,5
4061,5
6329,5
3655,5
2157,5
109,5
96,5
1790,5
4831,5
3247,5
3265,5
2545,5
6298,5
3624,5
5660,5
1562,5
411,5
1994,5
6136,5
1331,5
763,5
1262,5
5277,5
1428,5
392,5
1337,5
5516,5
1387,5
1229,5
656,5
1481,5
89,5
3278,5
1446,5
414,5
4941,5
6444,5
5966,5
274,5
3034,5
3694,5
5834,5
553,5
3053,5
4896,5
5621,5
1453,5
3885,5
28,5
3335,5
3456,5
771,5
1284,5
1487,5
1522,5
129,5
3842,5
2749,5
3491,5
587,5
2137,5
2333,5
2328,5
2163,5
2212,5
3957,5
879,5
2552,5
3489,5
5948,5
977,5
123,5
50,5
4123,5
1674,5
6248,5
769,5
3337,5
3095,5
3591,5
652,5
417,5
1824,5
5355,5
30,5
3841,5
4220,5
4241,5
5350,5
2059,5
519,5
1071,5
3483,5
610,5
4414,5
456,5
4927,5
1354,5
834,5
3358,5
1583,5
1382,5
4986,5
3479,5
2587,5
3675,5
2554,5
934,5
2268,5
4017,5
2446,5
3781,5
5754,5
5695,5
68,5
6026,5
2731,5
635,5
4419,5
1385,5
5491,5
1687,5
2871,5
5594,5
3026,5
893,5
6213,5
4249,5
791,5
3405,5
1260,5
48,5
4368,5
4063,5
2906,5
2872,5
5066,5
4003,5
6119,5
3509,5
2661,5
2677,5
717,5
1328,5
5697,5
1597,5
2806,5
3960,5
727,5
139,5
2727,5
5498,5
4518,5
2026,5
561,5
2612,5
6442,5
5002,5
1349,5
1809,5
4448,5
5387,5
6339,5
5475,5
4324,5
643,5
3840,5
5547,5
2810,5
2291,5
672,5
5312,5
967,5
1413,5
304,5
2169,5
4232,5
58,5
188,5
3607,5
793,5
2963,5
6235,5
61,5
987,5
2299,5
5299,5
692,5
4119,5
368,5
1518,5
1287,5
1485,5
682,5
5386,5
578,5
4497,5
5556,5
1370,5
5788,5
2355,5
5813,5
2140,5
5477,5
2067,5
2911,5
3538,5
1997,5
3647,5
848,5
5701,5
1355,5
5499,5
6002,5
6347,5
6142,5
3682,5
2280,5
2326,5
81,5
1848,5
3481,5
5880,5
3651,5
1178,5
1798,5
3375,5
1995,5
3916,5
3109,5
743,5
3600,5
3714,5
4446,5
3257,5
1548,5
1376,5
4410,5
1843,5
1344,5
3705,5
255,5
6212,5
5286,5
4337,5
2421,5
5998,5
677,5
3851,5
2647,5
6431,5
5459,5
2530,5
4563,5
5626,5
6047,5
716,5
4973,5
801,5
1381,5
1683,5
5606,5
3539,5
631,5
5434,5
3444,5
3100,5
3835,5
219,5
3091,5
2,5
5957,5
1361,5
4164,5
711,5
734,5
577,5
761,5
3925,5
2119,5
906,5
590,5
5640,5
3754,5
523,5
4889,5
6009,5
2693,5
2940,5
2219,5
2189,5
1420,5
843,5
593,5
5038,5
1872,5
3017,5
532,5
839,5
3940,5
4894,5
4029,5
664,5
3573,5
2508,5
863,5
1108,5
6032,5
6299,5
1720,5
5267,5
721,5
3726,5
2418,5
1246,5
5396,5
741,5
327,5
297,5
2750,5
4491,5
2954,5
2002,5
352,5
1447,5
253,5
263,5
2781,5
592,5
1437,5
6071,5
5651,5
3554,5
753,5
457,5
1391,5
1040,5
2528,5
4306,5
3169,5
2074,5
1633,5
5175,5
213,5
1227,5
1473,5
698,5
1873,5
3515,5
4191,5
5134,5
3537,5
4158,5
1702,5
22,5
3035,5
624,5
4146,5
6039,5
3737,5
6493,5
3843,5
1353,5
1533,5
2722,5
3555,5
991,5
3254,5
393,5
3446,5
4331,5
4510,5
5403,5
4064,5
5006,5
6055,5
4853,5
3786,5
1388,5
6103,5
5415,5
4696,5
5490,5
5129,5
5053,5
2903,5
5331,5
2011,5
3226,5
66,5
4197,5
594,5
3949,5
2179,5
155,5
3502,5
6120,5
3644,5
164,5
3710,5
1144,5
196,5
1968,5
4726,5
3203,5
2745,5
4053,5
4524,5
3993,5
6042,5
6483,5
6155,5
6450,5
1705,5
110,5
1159,5
4379,5
4512,5
394,5
1057,5
3859,5
1181,5
3366,5
5763,5
5663,5
5063,5
5366,5
993,5
3163,5
4994,5
4809,5
5534,5
3485,5
665,5
3410,5
820,5
1805,5
3207,5
3763,5
3030,5
4108,5
661,5
465,5
1783,5
1993,5
345,5
6319,5
4450,5
5997,5
3407,5
5563,5
3637,5
246,5
2765,5
3420,5
6427,5
629,5
1646,5
2016,5
4074,5
5620,5
5659,5
1677,5
6113,5
2320,5
2283,5
5734,5
3528,5
6147,5
3313,5
291,5
1739,5
3696,5
43,5
3160,5
5700,5
2606,5
2737,5
3764,5
3172,5
4428,5
64,5
2788,5
5444,5
4569,5
2834,5
1427,5
4869,5
5527,5
6419,5
3739,5
1119,5
485,5
1309,5
1231,5
3855,5
1719,5
5526,5
6104,5
88,5
1479,5
3807,5
1389,5
5970,5
2394,5
2282,5
4648,5
1986,5
3645,5
3379,5
5224,5
1690,5
2676,5
1786,5
4252,5
4213,5
1203,5
126,5
6132,5
2304,5
233,5
252,5
1860,5
689,5
9,5
2409,5
6349,5
5179,5
2294,5
1004,5
322,5
284,5
961,5
1099,5
3309,5
5365,5
6481,5
3534,5
3977,5
5709,5
4041,5
4169,5
687,5
924,5
3719,5
3271,5
2060,5
4475,5
5730,5
132,5
273,5
1866,5
4792,5
82,5
4399,5
4655,5
3692,5
176,5
2555,5
4420,5
3690,5
2646,5
1386,5
5524,5
25,5
5492,5
621,5
871,5
6265,5
1563,5
49,5
1721,5
2445,5
4096,5
431,5
4162,5
686,5
1336,5
2881,5
4253,5
713,5
240,5
5333,5
2984,5
5401,5
2510,5
2826,5
258,5
3857,5
3734,5
5919,5
4309,5
5422,5
4315,5
1701,5
4673,5
1556,5
5379,5
5466,5
6247,5
2393,5
6249,5
719,5
5389,5
1032,5
779,5
3699,5
3794,5
522,5
3542,5
2383,5
5778,5
668,5
396,5
4656,5
2512,5
1550,5
5844,5
752,5
1348,5
4672,5
2035,5
2546,5
5437,5
2004,5
1870,5
2764,5
4223,5
2653,5
3964,5
5328,5
6097,5
192,5
2232,5
5022,5
2644,5
731,5
5892,5
1610,5
6015,5
3540,5
2549,5
5629,5
218,5
5615,5
5121,5
3839,5
6141,5
3948,5
3471,5
5555,5
1703,5
3185,5
4551,5
2195,5
13,5
5818,5
3934,5
1800,5
1470,5
5682,5
195,5
2083,5
683,5
3930,5
3447,5
3274,5
21,5
5117,5
433,5
3771,5
4570,5
3279,5
3833,5
6038,5
2171,5
1225,5
1396,5
370,5
625,5
2423,5
4242,5
5361,5
3039,5
1306,5
260,5
849,5
2324,5
3802,5
1047,5
3826,5
1312,5
3356,5
785,5
1366,5
384,5
3804,5
6379,5
2027,5
1164,5
2642,5
3488,5
3790,5
1558,5
5973,5
221,5
5962,5
4246,5
851,5
1942,5
1438,5
636,5
812,5
136,5
5039,5
1401,5
201,5
3691,5
6268,5
5160,5
5889,5
5040,5
1729,5
4100,5
582,5
4145,5
5298,5
2309,5
5736,5
4993,5
3721,5
760,5
694,5
6271,5
675,5
3037,5
2296,5
1864,5
4049,5
688,5
5999,5
4895,5
15,5
2259,5
298,5
560,5
4378,5
6343,5
2273,5
555,5
2097,5
216,5
678,5
5995,5
4449,5
5308,5
1333,5
217,5
175,5
1254,5
462,5
1725,5
2064,5
5726,5
685,5
3662,5
4609,5
3906,5
1710,5
2105,5
367,5
1356,5
2416,5
1165,5
4918,5
4175,5
1509,5
4,5
4138,5
994,5
3701,5
6,5
5031,5
5797,5
1304,5
470,5
2785,5
1289,5
521,5
2262,5
4068,5
3201,5
4264,5
3920,5
2082,5
5520,5
4155,5
602,5
1551,5
5579,5
5162,5
671,5
3698,5
4310,5
1638,5
5910,5
862,5
1392,5
1792,5
1457,5
5309,5
3772,5
469,5
4722,5
3238,5
5043,5
3956,5
103,5
39,5
3457,5
227,5
1272,5
2001,5
4037,5
131,5
3500,5
5293,5
5051,5
5977,5
4891,5
1074,5
6164,5
2732,5
5347,5
4118,5
3616,5
739,5
1795,5
5345,5
2701,5
2715,5
4387,5
3689,5
5247,5
3881,5
1559,5
742,5
6066,5
3473,5
122,5
44,5
5614,5
1245,5
1731,5
83,5
1491,5
646,5
1717,5
4390,5
1464,5
10,5
3558,5
1971,5
2748,5
706,5
72,5
5802,5
163,5
722,5
2853,5
497,5
428,5
3135,5
4540,5
4090,5
1924,5
2928,5
4231,5
4043,5
6148,5
718,5
1241,5
478,5
1502,5
5926,5
3905,5
1256,5
5927,5
1415,5
4353,5
3901,5
2836,5
4879,5
90,5
4621,5
140,5
1560,5
6387,5
6260,5
615,5
4018,5
735,5
4060,5
3825,5
4195,5
2115,5
3364,5
5357,5
169,5
65,5
190,5
404,5
4030,5
80,5
1296,5
105,5
5784,5
6064,5
4496,5
3887,5
329,5
215,5
2264,5
1932,5
202,5
125,5
6491,5
6041,5
1288,5
2664,5
6205,5
2548,5
285,5
529,5
3679,5
933,5
4132,5
2155,5
3722,5
4361,5
147,5
4172,5
1990,5
1767,5
4554,5
5928,5
156,5
890,5
112,5
1365,5
4311,5
4552,5
3445,5
2312,5
3666,5
1819,5
6451,5
6251,5
1815,5
2574,5
783,5
483,5
5924,5
580,5
3674,5
4250,5
181,5
900,5
1572,5
531,5
5662,5
2922,5
143,5
4451,5
53,5
5719,5
6448,5
939,5
4020,5
1712,5
4703,5
5969,5
0,5
5352,5
2952,5
3003,5
4415,5
127,5
4044,5
4735,5
1582,5
5655,5
2744,5
3994,5
1840,5
4384,5
5528,5
1226,5
5853,5
819,5
778,5
4811,5
5122,5
158,5
4050,5
1634,5
5964,5
2045,5
3474,5
93,5
3634,5
2130,5
5549,5
3522,5
461,5
229,5
2900,5
758,5
5523,5
3124,5
2703,5
5876,5
3546,5
3532,5
6211,5
4652,5
12,5
955,5
1700,5
545,5
2220,5
784,5
4925,5
4300,5
4329,5
2292,5
2327,5
1797,5
4430,5
981,5
4650,5
3423,5
3237,5
2463,5
1163,5
1773,5
63,5
2191,5
1740,5
1285,5
3355,5
3693,5
1668,5
5399,5
5356,5
3746,5
3143,5
2716,5
757,5
1561,5
3909,5
5994,5
733,5
2511,5
1882,5
1763,5
3712,5
2723,5
2524,5
5990,5
5837,5
3560,5
4360,5
3815,5
4192,5
4788,5
6065,5
4228,5
3672,5
5213,5
5855,5
3900,5
4007,5
4240,5
3490,5
3492,5
1816,5
399,5
3462,5
2229,5
124,5
3253,5
2006,5
4720,5
1567,5
6003,5
5426,5
87,5
203,5
3120,5
2365,5
2342,5
2030,5
3911,5
5311,5
4173,5
3390,5
1166,5
356,5
720,5
781,5
2684,5
3785,5
2247,5
2050,5
973,5
1037,5
4680,5
5752,5
5727,5
5637,5
5406,5
1525,5
299,5
4031,5
3166,5
60,5
4236,5
1708,5
138,5
289,5
3363,5
2206,5
5215,5
6471,5
3548,5
2916,5
3182,5
3664,5
5300,5
3709,5
1188,5
4676,5
1155,5
5553,5
3797,5
4148,5
4657,5
710,5
6380,5
3306,5
46,5
4200,5
3395,5
5028,5
1928,5
2415,5
5762,5
296,5
5431,5
4665,5
3343,5
4210,5
3493,5
6037,5
2298,5
1105,5
2450,5
2929,5
2717,5
1384,5
1796,5
1546,5
482,5
1752,5
3472,5
3302,5
3184,5
5749,5
5536,5
6291,5
2372,5
3367,5
2801,5
4868,5
165,5
6050,5
1350,5
3235,5
3255,5
4356,5
4112,5
4065,5
2238,5
2417,5
2746,5
5216,5
5925,5
5705,5
2223,5
222,5
3801,5
6014,5
2120,5
4354,5
3848,5
1761,5
1713,5
969,5
572,5
114,5
3505,5
930,5
795,5
5590,5
306,5
2740,5
1670,5
5419,5
5930,5
5364,5
1393,5
92,5
3613,5
2201,5
5854,5
435,5
611,5
4224,5
4873,5
3803,5
57,5
5107,5
5959,5
1553,5
5473,5
145,5
5991,5
2534,5
4301,5
3041,5
4837,5
1768,5
362,5
2316,5
975,5
3878,5
1581,5
1811,5
2670,5
6284,5
1734,5
6383,5
3832,5
835,5
2936,5
4141,5
4550,5
4160,5
2038,5
5881,5
1442,5
178,5
846,5
2672,5
4479,5
2514,5
1416,5
1861,5
137,5
2118,5
5975,5
55,5
1799,5
1152,5
3549,5
3665,5
4494,5
14,5
796,5
620,5
4320,5
2804,5
3310,5
3933,5
4393,5
3599,5
4504,5
3958,5
1637,5
6409,5
4286,5
767,5
4776,5
1635,5
4711,5
2123,5
4085,5
264,5
2256,5
1138,5
554,5
5226,5
705,5
1920,5
2733,5
1211,5
3704,5
2656,5
1828,5
4495,5
920,5
5815,5
1814,5
3486,5
3357,5
5731,5
3050,5
5472,5
5225,5
1232,5
5273,5
32,5
732,5
5080,5
3553,5
3646,5
4501,5
1308,5
712,5
883,5
1027,5
439,5
2297,5
3434,5
6187,5
2649,5
2458,5
5190,5
141,5
2645,5
2816,5
2912,5
6154,5
3638,5
1666,5
3014,5
2600,5
3984,5
4675,5
256,5
2937,5
525,5
2160,5
1913,5
1372,5
4021,5
1681,5
3387,5
3611,5
2257,5
5636,5
3520,5
1085,5
4476,5
1334,5
3121,5
4626,5
3038,5
1960,5
5204,5
1193,5
1483,5
5790,5
4639,5
2651,5
5725,5
6056,5
3168,5
1916,5
5438,5
180,5
4083,5
1776,5
3740,5
2867,5
4485,5
5351,5
2058,5
183,5
1539,5
6423,5
6224,5
3071,5
1486,5
751,5
581,5
1538,5
5413,5
2376,5
2029,5
2180,5
71,5
3750,5
2222,5
2578,5
2207,5
1851,5
3404,5
3064,5
5,5
4533,5
2636,5
4386,5
2843,5
565,5
6122,5
1430,5
928,5
2635,5
2848,5
5336,5
2068,5
1609,5
4860,5
651,5
3736,5
6096,5
670,5
247,5
3165,5
3389,5
1358,5
4888,5
4718,5
76,5
2134,5
5900,5
1732,5
5375,5
2061,5
3765,5
3033,5
3229,5
1012,5
5633,5
2525,5
1531,5
808,5
1191,5
6215,5
679,5
27,5
1613,5
56,5
5430,5
2279,5
4171,5
2049,5
1243,5
823,5
2319,5
5411,5
5560,5
1273,5
1807,5
4808,5
4094,5
2784,5
3345,5
524,5
5398,5
3872,5
5796,5
3067,5
1883,5
5989,5
3852,5
1097,5
257,5
4631,5
2473,5
4707,5
1465,5
5600,5
3702,5
1352,5
5101,5
5362,5
193,5
3292,5
5978,5
2539,5
360,5
3118,5
2583,5
1671,5
1419,5
321,5
644,5
2779,5
5136,5
2814,5
3482,5
23,5
3392,5
1303,5
1547,5
6278,5
6435,5
4099,5
2469,5
1933,5
463,5
6175,5
5317,5
1338,5
4730,5
2743,5
1009,5
2452,5
979,5
1492,5
810,5
3400,5
3187,5
3865,5
6342,5
4166,5
2008,5
3625,5
800,5
4400,5
272,5
4807,5
2456,5
707,5
2211,5
5669,5
5548,5
152,5
4079,5
540,5
157,5
3942,5
3937,5
4549,5
1383,5
1471,5
4755,5
6328,5
818,5
3179,5
4678,5
6106,5
3285,5
962,5
3671,5
6079,5
2214,5
2660,5
1458,5
5285,5
562,5
4498,5
3928,5
5856,5
5321,5
1493,5
4635,5
5824,5
1095,5
5895,6
3706,6
2650,6
2065,6
1215,6
1498,6
5545,6
6353,6
2593,6
5218,6
571,6
5135,6
2894,6
6146,6
2655,6
171,6
558,6
1823,6
971,6
2616,6
1510,6
3795,6
1663,6
1015,6
2461,6
663,6
5668,6
385,6
5911,6
184,6
2104,6
2043,6
6410,6
4434,6
957,6
2752,6
1998,6
232,6
1782,6
1791,6
310,6
1224,6
5887,6
6202,6
2340,6
4198,6
2363,6
2921,6
1751,6
1981,6
888,6
2942,6
5501,6
1580,6
4477,6
3189,6
4134,6
3477,6
3047,6
3908,6
794,6
3697,6
6233,6
1340,6
3967,6
6434,6
2878,6
4298,6
6168,6
4036,6
5105,6
4186,6
1136,6
5542,6
2359,6
4229,6
1890,6
999,6
5407,6
4623,6
5863,6
4960,6
2805,6
6153,6
3796,6
5904,6
6474,6
402,6
1041,6
5945,6
3056,6
3438,6
3595,6
3619,6
666,6
5650,6
3097,6
5559,6
4694,6
6375,6
4849,6
6330,6
3951,6
2622,6
4365,6
5145,6
5380,6
245,6
2540,6
5627,6
5222,6
3779,6
877,6
2789,6
3717,6
2341,6
4105,6
1857,6
3114,6
3654,6
5898,6
3010,6
3228,6
1716,6
909,6
4998,6
2586,6
4630,6
2096,6
2739,6
1902,6
4763,6
2927,6
4866,6
5847,6
3334,6
1044,6
3853,6
4089,6
2226,6
2582,6
3224,6
4610,6
2856,6
51,6
3311,6
607,6
6437,6
3496,6
344,6
3587,6
1592,6
4260,6
1114,6
3484,6
5064,6
2089,6
5897,6
3155,6
5169,6
2965,6
84,6
3145,6
5297,6
4545,6
4858,6
1517,6
3346,6
5616,6
4643,6
3924,6
3639,6
4893,6
1021,6
4996,6
4615,6
1625,6
1524,6
1662,6
617,6
776,6
3371,6
6389,6
5207,6
5001,6
254,6
5949,6
6180,6
1129,6
700,6
1587,6
3577,6
4647,6
2290,6
6348,6
2734,6
31,6
3504,6
2839,6
311,6
2132,6
5100,6
3642,6
1574,6
5688,6
1060,6
1432,6
5025,6
3150,6
1862,6
2799,6
210,6
2719,6
3584,6
3221,6
3402,6
1341,6
1853,6
866,6
3058,6
1161,6
2604,6
533,6
1982,6
3148,6
6430,6
3731,6
831,6
3525,6
1182,6
6199,6
95,6
6176,6
1605,6
2227,6
148,6
6045,6
1048,6
354,6
2956,6
3199,6
6035,6
550,6
6017,6
5571,6
383,6
6031,6
564,6
4127,6
5667,6
500,6
6317,6
4304,6
1298,6
2345,6
234,6
1330,6
6421,6
915,6
2076,6
5961,6
667,6
1578,6
2281,6
3544,6
6488,6
3929,6
359,6
5212,6
1439,6
4857,6
6024,6
3116,6
1434,6
3535,6
1379,6
1707,6
1958,6
5252,6
2464,6
4667,6
2665,6
2766,6
2204,6
1779,6
6494,6
5486,6
3635,6
4027,6
1863,6
1529,6
3122,6
4237,6
3250,6
3919,6
1506,6
881,6
2366,6
4829,6
754,6
4806,6
1380,6
5647,6
6123,6
1280,6
842,6
1535,6
2608,6
1327,6
2605,6
6185,6
5920,6
2040,6
231,6
546,6
4723,6
5689,6
814,6
241,6
6160,6
4574,6
5391,6
177,6
5131,6
4072,6
3450,6
418,6
1885,6
2711,6
6053,6
3128,6
4523,6
3459,6
3089,6
4768,6
1033,6
6453,6
2803,6
2101,6
2335,6
5141,6
1039,6
3060,6
4944,6
4032,6
2408,6
3435,6
4897,6
5198,6
4901,6
3397,6
4713,6
5632,6
3475,6
1957,6
6112,6
2073,6
5604,6
4381,6
479,6
3043,6
1965,6
2266,6
6143,6
173,6
612,6
2386,6
2868,6
1617,6
2175,6
3921,6
4278,6
3107,6
4547,6
4596,6
4376,6
817,6
5715,6
5958,6
774,6
4001,6
2429,6
3890,6
3463,6
5074,6
5601,6
4813,6
3262,6
2380,6
2992,6
5154,6
4573,6
6191,6
5109,6
6464,6
2476,6
4513,6
3800,6
4227,6
1110,6
5214,6
3868,6
5512,6
317,6
4075,6
3406,6
5694,6
5661,6
965,6
1234,6
4738,6
3164,6
5862,6
1774,6
6478,6
2054,6
2231,6
3953,6
856,6
6167,6
2047,6
1014,6
4313,6
6061,6
2986,6
332,6
6172,6
2330,6
2941,6
2406,6
91,6
3419,6
3175,6
1653,6
570,6
3866,6
1149,6
2295,6
5007,6
5488,6
452,6
1499,6
1954,6
1595,6
1301,6
551,6
1969,6
936,6
5541,6
1926,6
3454,6
2498,6
1495,6
547,6
1694,6
1822,6
2311,6
5587,6
2760,6
1314,6
3574,6
6018,6
4758,6
5337,6
2597,6
6303,6
3209,6
6070,6
5262,6
3328,6
1897,6
6424,6
5711,6
566,6
4258,6
5248,6
4111,6
6137,6
534,6
4664,6
4028,6
4038,6
2146,6
4366,6
6074,6
1435,6
5943,6
6404,6
391,6
6092,6
6322,6
4024,6
1199,6
5750,6
1514,6
5418,6
1174,6
3896,6
3950,6
5912,6
2780,6
4750,6
3222,6
5024,6
1175,6
2161,6
1765,6
5483,6
1324,6
2448,6
3688,6
4984,6
527,6
921,6
2420,6
3078,6
2188,6
2255,6
5046,6
6194,6
4962,6
6111,6
2021,6
269,6
4464,6
6406,6
2088,6
4418,6
4178,6
6468,6
236,6
520,6
6346,6
4575,6
3408,6
5845,6
6490,6
3138,6
4459,6
4174,6
5408,6
1222,6
2895,6
1900,6
867,6
4297,6
460,6
4147,6
6189,6
2521,6
4532,6
3700,6
5584,6
3252,6
4719,6
4747,6
4613,6
5849,6
2228,6
427,6
6157,6
1941,6
5023,6
3816,6
3074,6
4234,6
1317,6
2939,6
1904,6
4522,6
4291,6
119,6
2293,6
4283,6
1868,6
2991,6
859,6
6023,6
3959,6
1281,6
6324,6
1268,6
549,6
2813,6
6429,6
2116,6
1735,6
847,6
1865,6
4654,6
2617,6
2077,6
926,6
5602,6
559,6
2759,6
1063,6
1672,6
1431,6
2982,6
2020,6
1679,6
493,6
6405,6
3186,6
5721,6
2129,6
764,6
5033,6
3329,6
1141,6
790,6
2537,6
1342,6
2422,6
512,6
5420,6
1744,6
3245,6
745,6
4323,6
1220,6
5374,6
1557,6
341,6
2899,6
4937,6
574,6
2983,6
1585,6
3133,6
280,6
6432,6
1953,6
5743,6
1197,6
1096,6
1395,6
5126,6
5681,6
537,6
6277,6
6261,6
1092,6
770,6
5302,6
315,6
5073,6
4357,6
2018,6
1623,6
1748,6
6408,6
2495,6
3743,6
6105,6
4759,6
5538,6
869,6
3147,6
2678,6
343,6
2348,6
892,6
5605,6
6068,6
1706,6
2103,6
5468,6
1685,6
3156,6
2573,6
1770,6
4855,6
4952,6
6325,6
897,6
1532,6
1527,6
376,6
6306,6
6094,6
3433,6
42,6
3732,6
960,6
5878,6
4468,6
4279,6
1951,6
5617,6
4109,6
3938,6
2122,6
4435,6
4259,6
5316,6
250,6
5739,6
3673,6
3469,6
287,6
307,6
1869,6
508,6
5576,6
2618,6
6326,6
1267,6
1223,6
6043,6
3297,6
2889,6
5077,6
3115,6
5699,6
3877,6
5462,6
4452,6
1570,6
6124,6
4411,6
4204,6
3745,6
3947,6
5157,6
2144,6
2117,6
861,6
2579,6
6183,6
982,6
2884,6
2496,6
5883,6
3299,6
4040,6
5421,6
5941,6
1472,6
746,6
3273,6
197,6
912,6
3369,6
2923,6
5993,6
3085,6
1265,6
4285,6
2773,6
4812,6
20,6
6130,6
6044,6
1755,6
6295,6
1169,6
5582,6
4681,6
1179,6
4052,6
2846,6
1830,6
69,6
6333,6
2313,6
660,6
1194,6
992,6
29,6
5148,6
3106,6
5696,6
3341,6
438,6
4577,6
567,6
3464,6
1425,6
2648,6
1259,6
2107,6
4565,6
5495,6
4865,6
6006,6
4261,6
5670,6
1286,6
6436,6
108,6
4982,6
3012,6
2768,6
605,6
762,6
3501,6
2891,6
3291,6
1142,6
5149,6
1537,6
1588,6
6289,6
4612,6
1311,6
5290,6
4239,6
2854,6
2747,6
3757,6
4741,6
5305,6
1542,6
436,6
1257,6
4633,6
1565,6
1604,6
3756,6
5124,6
2630,6
1812,6
6369,6
591,6
3517,6
910,6
3792,6
6370,6
5455,6
1575,6
4167,6
6382,6
1242,6
1023,6
4954,6
4658,6
6492,6
1875,6
1315,6
214,6
121,6
1643,6
2873,6
1844,6
3618,6
5902,6
4293,6
6281,6
1940,6
4632,6
6115,6
601,6
2099,6
3880,6
4774,6
5829,6
1103,6
468,6
1359,6
5493,6
5698,6
6209,6
1554,6
4484,6
6232,6
1659,6
2879,6
5143,6
5832,6
4163,6
5781,6
3783,6
5467,6
1426,6
212,6
349,6
4693,6
5735,6
3576,6
4560,6
3123,6
980,6
4005,6
5884,6
6081,6
6019,6
2902,6
5166,6
895,6
2596,6
2531,6
749,6
3139,6
3913,6
3894,6
2955,6
1573,6
5314,6
2334,6
2933,6
908,6
1615,6
2181,6
5742,6
2793,6
6140,6
1835,6
4748,6
3609,6
5011,6
4951,6
3733,6
3086,6
5332,6
4033,6
5710,6
2520,6
1357,6
5882,6
4196,6
3606,6
6240,6
1987,6
3196,6
2388,6
5611,6
6459,6
4401,6
4770,6
6090,6
6332,6
6126,6
3875,6
6269,6
6354,6
477,6
5447,6
2332,6
4932,6
2267,6
569,6
1216,6
1087,6
3476,6
1698,6
6239,6
5551,6
5565,6
2757,6
3990,6
4933,6
3996,6
1545,6
3557,6
1135,6
386,6
1460,6
5146,6
1652,6
2917,6
2156,6
2302,6
4539,6
6413,6
2009,6
2763,6
4832,6
552,6
799,6
2782,6
5496,6
4208,6
3105,6
2412,6
6127,6
2124,6
3943,6
970,6
4821,6
3867,6
2562,6
3593,6
6193,6
3598,6
2680,6
3025,6
699,6
3966,6
4642,6
2584,6
5164,6
6178,6
211,6
6310,6
4784,6
